iter	Passed	Remaining
0	2	203
1	3	163
2	4	129
3	4	115
4	5	110
5	7	110
6	8	114
7	9	114
8	11	113
9	12	111
10	12	104
11	13	99
12	14	94
13	14	92
14	16	91
15	16	88
16	17	85
17	18	83
18	18	80
19	19	78
20	20	76
21	21	75
22	22	74
23	22	72
24	23	70
25	24	68
26	24	67
27	25	65
28	25	63
29	26	62
30	27	60
31	27	59
32	28	58
33	29	56
34	29	55
35	30	54
36	31	53
37	32	52
38	32	51
39	33	50
40	34	49
41	34	48
42	35	47
43	36	46
44	36	44
45	37	43
46	38	42
47	38	41
48	39	40
49	40	40
50	40	39
51	41	38
52	42	37
53	42	36
54	43	35
55	43	34
56	44	33
57	45	32
58	46	31
59	46	31
60	47	30
61	48	29
62	48	28
63	49	27
64	49	26
65	50	26
66	51	25
67	51	24
68	52	23
69	53	22
70	53	22
71	54	21
72	55	20
73	56	19
74	57	19
75	57	18
76	58	17
77	59	16
78	59	15
79	60	15
80	61	14
81	62	13
82	62	12
83	63	12
84	64	11
85	64	10
86	65	9
87	66	9
88	66	8
89	67	7
90	68	6
91	68	5
92	69	5
93	69	4
94	70	3
95	71	2
96	71	2
97	72	1
98	73	0
99	73	0
