iter	Passed	Remaining
0	149	149528
1	151	75662
2	153	50917
3	154	38566
4	156	31118
5	157	26133
6	159	22568
7	161	20002
8	162	17946
9	164	16278
10	165	14910
11	167	13751
12	168	12767
13	169	11924
14	170	11195
15	171	10557
16	172	9989
17	174	9493
18	174	9034
19	175	8619
20	176	8230
21	177	7879
22	177	7556
23	178	7277
24	180	7031
25	181	6791
26	182	6560
27	182	6344
28	183	6140
29	183	5946
30	184	5767
31	185	5599
32	185	5441
33	186	5293
34	186	5151
35	187	5022
36	188	4899
37	188	4783
38	189	4670
39	190	4561
40	190	4458
41	191	4360
42	191	4271
43	192	4189
44	193	4106
45	194	4028
46	194	3950
47	195	3875
48	195	3802
49	196	3734
50	197	3666
51	197	3603
52	198	3541
53	198	3481
54	199	3424
55	199	3369
56	200	3316
57	201	3264
58	201	3215
59	202	3165
60	202	3119
61	203	3074
62	203	3030
63	204	2987
64	204	2946
65	205	2906
66	205	2867
67	206	2829
68	207	2793
69	207	2759
70	208	2726
71	208	2693
72	209	2661
73	210	2630
74	210	2601
75	211	2571
76	212	2541
77	212	2513
78	213	2485
79	213	2457
80	214	2431
81	214	2405
82	215	2377
83	215	2352
84	216	2329
85	217	2306
86	217	2283
87	218	2260
88	218	2239
89	219	2217
90	219	2196
91	220	2175
92	220	2154
93	221	2134
94	222	2115
95	222	2097
96	223	2078
97	223	2060
98	224	2043
99	225	2025
100	225	2008
101	226	1991
102	226	1974
103	227	1957
104	227	1941
105	228	1925
106	228	1909
107	229	1894
108	229	1878
109	230	1864
110	230	1849
111	231	1834
112	231	1820
113	232	1807
114	233	1793
115	233	1779
116	233	1765
117	234	1753
118	235	1740
119	235	1727
120	236	1714
121	236	1701
122	237	1689
123	237	1679
124	238	1668
125	239	1658
126	239	1646
127	240	1635
128	240	1625
129	241	1615
130	241	1604
131	242	1594
132	243	1584
133	243	1573
134	244	1563
135	244	1553
136	245	1543
137	245	1533
138	246	1524
139	246	1515
140	247	1505
141	247	1495
142	248	1486
143	248	1477
144	249	1468
145	249	1459
146	250	1451
147	250	1443
148	251	1434
149	251	1426
150	252	1418
151	252	1411
152	253	1403
153	254	1395
154	254	1388
155	255	1380
156	255	1373
157	256	1365
158	256	1358
159	257	1350
160	257	1342
161	258	1335
162	258	1328
163	259	1321
164	259	1314
165	260	1307
166	260	1300
167	261	1294
168	261	1287
169	262	1280
170	262	1274
171	263	1268
172	263	1261
173	264	1255
174	264	1248
175	265	1242
176	265	1236
177	266	1230
178	266	1224
179	267	1218
180	268	1213
181	268	1208
182	269	1202
183	269	1196
184	270	1191
185	270	1185
186	271	1180
187	271	1174
188	272	1169
189	272	1163
190	273	1158
191	274	1153
192	274	1149
193	275	1144
194	276	1139
195	276	1135
196	277	1130
197	277	1125
198	278	1121
199	279	1117
200	279	1112
201	280	1107
202	281	1103
203	281	1099
204	282	1094
205	282	1090
206	283	1085
207	284	1081
208	284	1077
209	285	1073
210	285	1068
211	286	1064
212	286	1060
213	287	1055
214	287	1051
215	288	1047
216	289	1043
217	289	1039
218	290	1034
219	290	1030
220	291	1026
221	291	1022
222	292	1018
223	292	1014
224	293	1010
225	293	1006
226	294	1002
227	294	998
228	295	994
229	295	990
230	296	986
231	296	982
232	297	978
233	297	975
234	298	971
235	299	968
236	299	964
237	300	961
238	300	957
239	301	954
240	301	950
241	302	946
242	302	943
243	303	940
244	304	937
245	304	933
246	305	930
247	305	927
248	306	923
249	306	920
250	307	917
251	308	914
252	308	911
253	309	907
254	309	904
255	310	901
256	310	898
257	311	895
258	311	892
259	312	888
260	312	885
261	313	882
262	313	879
263	314	876
264	315	873
265	315	870
266	316	867
267	316	864
268	317	861
269	317	858
270	318	856
271	318	853
272	319	850
273	319	847
274	320	844
275	320	841
276	321	838
277	321	836
278	322	833
279	323	830
280	323	827
281	324	825
282	324	822
283	325	819
284	325	816
285	326	814
286	326	811
287	327	808
288	327	806
289	328	803
290	328	800
291	329	798
292	330	796
293	330	794
294	331	791
295	331	789
296	332	787
297	333	784
298	333	782
299	334	779
300	334	777
301	335	774
302	335	772
303	336	769
304	336	767
305	337	765
306	338	763
307	338	760
308	339	758
309	339	755
310	340	753
311	340	751
312	341	748
313	341	746
314	342	744
315	342	741
316	343	739
317	343	737
318	344	735
319	345	733
320	345	731
321	346	729
322	347	727
323	347	725
324	348	723
325	348	721
326	349	719
327	350	717
328	350	715
329	351	713
330	351	711
331	352	709
332	353	707
333	353	705
334	354	702
335	354	700
336	355	698
337	355	696
338	356	694
339	356	692
340	357	690
341	357	688
342	358	686
343	358	684
344	359	682
345	360	680
346	360	679
347	361	677
348	362	675
349	362	673
350	363	671
351	363	669
352	364	667
353	364	665
354	365	663
355	365	662
356	366	660
357	367	658
358	367	656
359	368	654
360	368	652
361	369	650
362	369	648
363	370	646
364	370	645
365	371	643
366	371	641
367	372	639
368	372	637
369	373	636
370	374	634
371	374	633
372	375	631
373	376	629
374	377	628
375	377	627
376	378	626
377	379	624
378	380	622
379	381	621
380	381	620
381	382	618
382	383	617
383	383	615
384	384	613
385	384	612
386	385	610
387	385	608
388	386	607
389	387	605
390	387	603
391	388	602
392	389	601
393	389	599
394	390	598
395	391	596
396	392	595
397	392	594
398	393	592
399	394	591
400	394	589
401	395	587
402	395	586
403	396	585
404	397	583
405	397	582
406	398	580
407	398	578
408	399	577
409	400	575
410	400	574
411	401	572
412	401	571
413	402	569
414	403	568
415	403	566
416	404	565
417	404	563
418	405	562
419	406	560
420	406	559
421	407	557
422	408	556
423	408	555
424	409	553
425	409	552
426	410	551
427	411	549
428	411	548
429	412	546
430	412	545
431	413	543
432	414	542
433	414	540
434	415	539
435	415	537
436	416	536
437	416	535
438	417	533
439	418	532
440	418	530
441	419	529
442	419	527
443	420	526
444	420	524
445	421	523
446	422	522
447	423	521
448	423	520
449	424	518
450	425	517
451	425	516
452	426	514
453	426	513
454	427	512
455	428	510
456	428	509
457	429	507
458	429	506
459	430	505
460	430	503
461	431	502
462	432	501
463	432	500
464	433	498
465	434	497
466	434	496
467	435	494
468	435	493
469	436	492
470	437	490
471	437	489
472	438	488
473	439	487
474	440	486
475	440	485
476	441	483
477	442	482
478	442	481
479	443	480
480	443	478
481	444	477
482	445	476
483	445	475
484	446	473
485	446	472
486	447	471
487	447	469
488	448	468
489	448	467
490	449	465
491	450	464
492	450	463
493	451	461
494	451	460
495	452	459
496	452	458
497	453	457
498	453	455
499	454	454
500	455	453
501	455	452
502	456	451
503	457	449
504	457	448
505	458	447
506	458	445
507	459	444
508	459	443
509	460	442
510	460	440
511	461	439
512	461	438
513	462	437
514	463	436
515	463	434
516	464	433
517	464	432
518	465	431
519	465	429
520	466	428
521	466	427
522	467	426
523	467	425
524	468	423
525	469	422
526	469	421
527	470	420
528	471	419
529	471	418
530	472	416
531	472	415
532	473	414
533	473	413
534	474	412
535	474	411
536	475	409
537	475	408
538	476	407
539	476	406
540	477	405
541	477	403
542	478	402
543	478	401
544	479	400
545	480	399
546	480	397
547	481	396
548	481	395
549	482	394
550	482	393
551	483	392
552	484	391
553	484	390
554	485	389
555	485	387
556	486	386
557	486	385
558	487	384
559	488	383
560	489	382
561	489	381
562	490	380
563	491	379
564	491	378
565	492	377
566	492	376
567	493	375
568	493	373
569	494	372
570	494	371
571	495	370
572	495	369
573	496	368
574	496	367
575	497	366
576	498	365
577	499	364
578	500	363
579	500	362
580	501	361
581	502	360
582	502	359
583	503	358
584	503	357
585	504	356
586	504	355
587	505	354
588	505	353
589	506	351
590	507	350
591	507	349
592	508	348
593	508	347
594	509	346
595	509	345
596	510	344
597	510	343
598	511	342
599	511	341
600	512	340
601	512	339
602	513	338
603	514	336
604	514	336
605	515	335
606	516	334
607	516	333
608	517	332
609	517	331
610	518	330
611	519	329
612	519	327
613	520	326
614	520	325
615	521	324
616	521	323
617	522	322
618	522	321
619	523	320
620	523	319
621	524	318
622	524	317
623	525	316
624	525	315
625	526	314
626	526	313
627	527	312
628	527	311
629	528	310
630	529	309
631	529	308
632	530	307
633	531	306
634	531	305
635	532	304
636	533	303
637	533	302
638	534	301
639	534	300
640	535	299
641	535	298
642	536	297
643	537	296
644	537	295
645	538	294
646	538	294
647	539	293
648	539	292
649	540	291
650	541	290
651	541	289
652	542	288
653	542	287
654	543	286
655	543	285
656	544	284
657	545	283
658	545	282
659	546	281
660	547	280
661	547	279
662	548	278
663	548	277
664	549	276
665	549	275
666	550	274
667	551	273
668	551	272
669	552	271
670	552	271
671	553	270
672	554	269
673	554	268
674	555	267
675	555	266
676	556	265
677	557	264
678	557	263
679	558	262
680	559	261
681	560	261
682	560	260
683	561	259
684	562	258
685	562	257
686	563	256
687	563	255
688	564	254
689	564	253
690	565	252
691	565	251
692	566	250
693	566	249
694	567	249
695	567	248
696	568	247
697	568	246
698	569	245
699	570	244
700	570	243
701	571	242
702	571	241
703	572	240
704	572	239
705	573	238
706	573	237
707	574	236
708	575	236
709	575	235
710	576	234
711	576	233
712	577	232
713	577	231
714	578	230
715	579	229
716	579	228
717	580	228
718	581	227
719	581	226
720	582	225
721	582	224
722	583	223
723	583	222
724	584	221
725	584	220
726	585	219
727	585	218
728	586	218
729	587	217
730	587	216
731	588	215
732	588	214
733	589	213
734	590	212
735	591	212
736	592	211
737	592	210
738	593	209
739	594	208
740	594	207
741	595	207
742	595	206
743	596	205
744	596	204
745	597	203
746	598	202
747	598	201
748	599	200
749	599	199
750	600	198
751	600	198
752	601	197
753	602	196
754	602	195
755	603	194
756	603	193
757	604	192
758	604	192
759	605	191
760	606	190
761	606	189
762	607	188
763	608	187
764	608	187
765	609	186
766	610	185
767	610	184
768	611	183
769	612	182
770	612	181
771	613	181
772	613	180
773	614	179
774	614	178
775	615	177
776	615	176
777	616	175
778	616	175
779	617	174
780	618	173
781	618	172
782	619	171
783	619	170
784	620	169
785	620	169
786	621	168
787	622	167
788	623	166
789	624	165
790	624	165
791	625	164
792	625	163
793	626	162
794	627	161
795	627	160
796	628	160
797	628	159
798	629	158
799	629	157
800	630	156
801	631	155
802	631	154
803	632	154
804	632	153
805	633	152
806	633	151
807	634	150
808	634	149
809	635	149
810	635	148
811	636	147
812	637	146
813	638	145
814	638	144
